dates,dec.yr,Qsal,gam.s1,gam.s1.fn,gam.s2,gam.s2.fn,gam.s3,gam.s3.fn
1/3/2005,2005.005479,2.240356235,-0.007135846,1.120129868,0.89663044,0.947210352,0.900950142,0.948423116
2/26/2005,2005.153425,4.12618345,2.146773022,1.282144476,1.164727318,1.056541735,1.176934768,1.059388033
3/24/2005,2005.224658,4.292192267,2.549608105,1.800734446,1.401563939,1.30921305,1.42355379,1.318236236
4/11/2005,2005.273973,3.62889444,1.999237776,1.455160709,1.514485583,1.456091329,1.525422134,1.454974458
5/24/2005,2005.391781,2.18198334,1.113424855,2.014915462,2.075575185,2.091525267,2.03873911,2.087194532
6/16/2005,2005.454795,2.851882656,2.082602428,2.232648283,2.374856443,2.3664919,2.360979766,2.359419475
7/3/2005,2005.50137,2.590529802,1.962551437,2.267435979,2.516159525,2.480081715,2.488901366,2.469028269
8/28/2005,2005.654795,3.662971694,2.556329752,2.084070999,2.03748985,2.183207959,2.071042934,2.178191384
9/5/2005,2005.676712,3.057773873,2.005230143,1.878468836,2.091589482,2.132336376,2.08748187,2.117419765
10/9/2005,2005.769863,2.840405677,1.431078248,1.199066829,1.734802652,1.802916349,1.714781829,1.760832321
11/28/2005,2005.906849,4.360667274,2.256390632,1.405688749,1.039842686,1.130500197,1.147695015,1.156622096
12/10/2005,2005.939726,4.496044549,2.342326496,1.046008368,0.990399771,1.071464006,1.114191474,1.071209196
1/3/2006,2006.005479,2.743938398,0.549744791,1.130435964,0.949929005,0.957517448,0.912756849,0.975720791
2/10/2006,2006.109589,2.329811028,0.099475802,1.231400528,0.913787403,1.005794113,0.826897019,1.030457857
3/21/2006,2006.216438,3.544480613,1.712668965,1.814313428,1.31232571,1.322790305,1.359138614,1.380393905
4/13/2006,2006.279452,3.383879876,1.803069754,1.537598188,1.563328307,1.538528381,1.592233815,1.537386436
5/18/2006,2006.375342,2.259470507,1.10772023,1.954139404,1.992382751,2.030748988,1.871946468,2.019084159
6/15/2006,2006.452055,3.354469111,2.558464352,2.220177082,2.348131031,2.354020717,2.376877029,2.333788936
7/28/2006,2006.569863,3.245914243,2.502070526,2.226355514,2.400290556,2.439000728,2.415896307,2.406201778
8/13/2006,2006.613699,1.591642385,0.997224478,2.223746956,2.549722943,2.322884673,2.304577276,2.30770691
9/9/2006,2006.687671,2.912738856,1.851764856,1.833605819,2.083159248,2.08747298,2.046294574,2.046891004
10/20/2006,2006.8,3.594151293,1.931364814,1.063945109,1.48134112,1.667793499,1.562742656,1.563503629
11/14/2006,2006.868493,4.967492175,2.876348495,1.534741128,1.052977168,1.25955498,1.388292662,1.311920771
12/25/2006,2006.980822,4.037338113,1.858320399,0.978473962,0.965102973,1.003930073,1.13959389,1.000488224
1/28/2007,2007.073973,3.25840842,1.093715209,1.153961002,0.979432158,0.981046278,1.003329233,1.016849124
2/6/2007,2007.09863,2.829244414,0.677594002,1.240889797,0.992474818,1.01528289,0.928208075,1.062133483
3/29/2007,2007.238356,2.902559218,1.147404335,1.946260716,1.388976678,1.454737665,1.335137534,1.562226333
4/25/2007,2007.312329,3.011053904,1.610004276,1.7531241,1.743085423,1.754054441,1.711719371,1.752779916
5/5/2007,2007.339726,3.855695053,2.655043488,1.808138869,1.943489206,1.884747842,2.106370998,1.865945175
6/20/2007,2007.465753,3.477542748,2.722580401,2.252408995,2.389172903,2.386252594,2.469329753,2.352725223
7/21/2007,2007.550685,2.815846728,2.122762619,2.231986343,2.451052463,2.44463183,2.368134457,2.390832429
8/4/2007,2007.589041,3.186926785,2.408918582,2.278792056,2.366126271,2.377930202,2.377228856,2.352756432
9/15/2007,2007.70411,2.734820217,1.636819967,1.769889912,2.046132841,2.023756505,1.938277955,1.957378625
10/3/2007,2007.753425,2.504034093,1.236961893,1.267700221,1.877059477,1.871550686,1.70491159,1.709245737
11/4/2007,2007.841096,2.357948655,0.737871674,1.653232913,1.524051732,1.378048549,1.305842076,1.456872943
12/26/2007,2007.983562,1.414824894,-0.597414227,0.98904398,1.131887513,1.01450109,0.625580016,1.00825784
1/12/2008,2008.030137,2.860808768,0.707305236,1.145577395,0.990620885,0.972661501,0.907051479,1.025092767
2/16/2008,2008.126027,3.933275754,1.898586521,1.325393523,1.109442175,1.099788542,1.352530403,1.169391883
4/14/2008,2008.284932,3.144742408,1.674656823,1.673003622,1.674049291,1.673932764,1.673410668,1.672795704
