Station,Date,Time (EST),Date+Time,DO (conc.),DO (%),Salinity (ppt),Temp (°C),Temp (°F),pH,Turbidity (NTU),Chlorophyll a (µg/l)
Patuxent River - Jug Bay,01-Jan-2011,00:00:25,01-Jan-2011 00:00:25,12.06,89.3,0.27,2.83,37.0939998626709,7.19,11.1,2.5
Patuxent River - Jug Bay,01-Jan-2011,00:15:25,01-Jan-2011 00:15:25,12.05,89.1,0.27,2.79,37.0219999313355,7.17,11.2,2.4
Patuxent River - Jug Bay,01-Jan-2011,00:30:25,01-Jan-2011 00:30:25,12.03,88.9,0.27,2.73,36.9140000343323,7.17,12.0,2.2
Patuxent River - Jug Bay,01-Jan-2011,00:45:24,01-Jan-2011 00:45:24,12.02,88.6,0.26,2.65,36.7700001716614,7.17,12.3,1.7
Patuxent River - Jug Bay,01-Jan-2011,01:00:24,01-Jan-2011 01:00:24,12.03,88.4,0.26,2.52,36.5359999656677,7.18,14.2,2.2
Patuxent River - Jug Bay,01-Jan-2011,01:15:24,01-Jan-2011 01:15:24,12.04,88.3,0.25,2.46,36.4280000686646,7.17,13.5,1.6
Patuxent River - Jug Bay,01-Jan-2011,01:30:25,01-Jan-2011 01:30:25,12.05,88.1,0.26,2.37,36.2659997940063,7.18,13.3,2.3
Patuxent River - Jug Bay,01-Jan-2011,01:45:25,01-Jan-2011 01:45:25,12.06,88.0,0.25,2.29,36.1219999313355,7.19,13.5,2.1
Patuxent River - Jug Bay,01-Jan-2011,02:00:24,01-Jan-2011 02:00:24,12.07,87.9,0.25,2.22,35.9960000514984,7.2,13.0,2.2
Patuxent River - Jug Bay,01-Jan-2011,02:15:25,01-Jan-2011 02:15:25,12.06,87.9,0.25,2.23,36.0140000343323,7.22,13.3,1.6
Patuxent River - Jug Bay,01-Jan-2011,02:30:25,01-Jan-2011 02:30:25,12.03,87.9,0.26,2.32,36.175999879837,7.18,12.2,1.8
Patuxent River - Jug Bay,01-Jan-2011,02:45:25,01-Jan-2011 02:45:25,12.07,87.9,0.25,2.21,35.9780000686645,7.19,12.6,2.2
Patuxent River - Jug Bay,01-Jan-2011,03:00:25,01-Jan-2011 03:00:25,12.09,88.1,0.25,2.24,36.0320000171661,7.18,11.4,1.8
Patuxent River - Jug Bay,01-Jan-2011,03:15:25,01-Jan-2011 03:15:25,12.07,88.3,0.25,2.36,36.2479998111725,7.16,11.4,2.9
Patuxent River - Jug Bay,01-Jan-2011,03:30:25,01-Jan-2011 03:30:25,12.08,88.4,0.25,2.37,36.2659997940063,7.16,11.1,1.5
Patuxent River - Jug Bay,01-Jan-2011,03:45:25,01-Jan-2011 03:45:25,12.05,88.4,0.25,2.49,36.4820000171661,7.17,11.7,1.5
Patuxent River - Jug Bay,01-Jan-2011,04:00:25,01-Jan-2011 04:00:25,12.03,88.5,0.26,2.6,36.6799998283386,7.16,13.3,2.2
Patuxent River - Jug Bay,01-Jan-2011,04:15:24,01-Jan-2011 04:15:24,12.01,88.3,0.25,2.56,36.6079998970032,7.16,12.2,2.1
