STATION,date,DEPTH,LAYER,PARAMETER,AvgValue,LAB,METHOD,PROBLEM,TOTAL_DEPTH
LE1.1,1/9/1985,0.5,S,CHLA,10.75,MDHMH,L02,,11.4
LE1.1,1/9/1985,0.5,S,SALINITY,12.86,,F01,,11.4
LE1.1,1/9/1985,3,M,CHLA,10.83,MDHMH,L02,,11.4
LE1.1,1/9/1985,3,M,SALINITY,12.79,,F01,,11.4
LE1.1,1/9/1985,6.1,M,CHLA,9.14,MDHMH,L02,,11.4
LE1.1,1/9/1985,6.1,M,SALINITY,13.19,,F01,,11.4
LE1.1,1/9/1985,9.1,M,CHLA,9.41,MDHMH,L02,,11.4
LE1.1,1/9/1985,9.1,M,SALINITY,13.26,,F01,,11.4
LE1.1,1/9/1985,11,M,SALINITY,13.06,,F01,,11.4
LE1.1,2/20/1985,0.3,M,SALINITY,9.98,,F01,,12.1
LE1.1,2/20/1985,3,M,SALINITY,10.89,,F01,,12.1
LE1.1,2/20/1985,6.1,M,SALINITY,14.06,,F01,,12.1
LE1.1,2/20/1985,9.1,M,SALINITY,14.13,,F01,,12.1
LE1.1,2/20/1985,12,M,SALINITY,14.26,,F01,,12.1
LE1.1,3/11/1985,0.3,M,SALINITY,12.26,,F01,,11.4
LE1.1,3/11/1985,3,M,SALINITY,12.59,,F01,,11.4
LE1.1,3/11/1985,6.1,M,SALINITY,13.59,,F01,,11.4
LE1.1,3/11/1985,9.1,M,SALINITY,13.73,,F01,,11.4
LE1.1,3/11/1985,10.4,M,SALINITY,13.73,,F01,,11.4
LE1.1,3/26/1985,0.3,M,SALINITY,12,,F01,,12.2
LE1.1,3/26/1985,3,M,SALINITY,12.73,,F01,,12.2
LE1.1,3/26/1985,6.1,M,SALINITY,13.73,,F01,,12.2
LE1.1,3/26/1985,9.1,M,SALINITY,13.99,,F01,,12.2
LE1.1,3/26/1985,12,M,SALINITY,13.79,,F01,,12.2
LE1.1,4/8/1985,0.3,M,SALINITY,12.53,,F01,,12
LE1.1,4/8/1985,3,M,SALINITY,12.59,,F01,,12
LE1.1,4/8/1985,6.1,M,SALINITY,12.86,,F01,,12
LE1.1,4/8/1985,9.1,M,SALINITY,14.13,,F01,,12
LE1.1,4/8/1985,11.5,M,SALINITY,14.93,,F01,,12
LE1.1,4/22/1985,0.3,M,SALINITY,11.87,,F01,,12.5
LE1.1,4/22/1985,3,M,SALINITY,12.07,,F01,,12.5
LE1.1,4/22/1985,6.1,M,SALINITY,12.99,,F01,,12.5
LE1.1,4/22/1985,9.1,M,SALINITY,13.06,,F01,,12.5
