EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
39215,MDDNR,TRIB,CB5.1W,1/9/1985,8:20,0.5,S,ISM,M1,SALINITY,,13.73,PPT,F02,,,,8.4,,,38.32522,-76.37574
39215,MDDNR,TRIB,CB5.1W,1/9/1985,8:20,3,M,ISM,M1,SALINITY,,13.99,PPT,F02,,,,8.4,,,38.32522,-76.37574
39215,MDDNR,TRIB,CB5.1W,1/9/1985,8:20,6.1,M,ISM,M1,SALINITY,,14.13,PPT,F02,,,,8.4,,,38.32522,-76.37574
39215,MDDNR,TRIB,CB5.1W,1/9/1985,8:20,8,M,ISM,M1,SALINITY,,14.06,PPT,F02,,,,8.4,,,38.32522,-76.37574
39216,MDDNR,TRIB,CB5.1W,2/20/1985,7:50,0.3,M,ISM,M1,SALINITY,,14.73,PPT,F02,,,,8.5,,,38.32522,-76.37574
39216,MDDNR,TRIB,CB5.1W,2/20/1985,7:50,3,M,ISM,M1,SALINITY,,15,PPT,F02,,,,8.5,,,38.32522,-76.37574
39216,MDDNR,TRIB,CB5.1W,2/20/1985,7:50,6.1,M,ISM,M1,SALINITY,,15.2,PPT,F02,,,,8.5,,,38.32522,-76.37574
39216,MDDNR,TRIB,CB5.1W,2/20/1985,7:50,9.1,M,ISM,M1,SALINITY,,15.34,PPT,F02,,,,8.5,,,38.32522,-76.37574
39217,MDDNR,TRIB,CB5.1W,3/11/1985,11:05,0.3,M,ISM,M1,SALINITY,,14.06,PPT,F02,,,,8.8,,,38.32522,-76.37574
39217,MDDNR,TRIB,CB5.1W,3/11/1985,11:05,3,M,ISM,M1,SALINITY,,14.06,PPT,F02,,,,8.8,,,38.32522,-76.37574
39217,MDDNR,TRIB,CB5.1W,3/11/1985,11:05,6.1,M,ISM,M1,SALINITY,,14.26,PPT,F02,,,,8.8,,,38.32522,-76.37574
39217,MDDNR,TRIB,CB5.1W,3/11/1985,11:05,7.5,M,ISM,M1,SALINITY,,14.6,PPT,F02,,,,8.8,,,38.32522,-76.37574
39218,MDDNR,TRIB,CB5.1W,3/26/1985,11:15,0.3,M,ISM,M1,SALINITY,,12.53,PPT,F02,,,,9.5,,,38.32522,-76.37574
39218,MDDNR,TRIB,CB5.1W,3/26/1985,11:15,3,M,ISM,M1,SALINITY,,12.59,PPT,F02,,,,9.5,,,38.32522,-76.37574
39218,MDDNR,TRIB,CB5.1W,3/26/1985,11:15,6.1,M,ISM,M1,SALINITY,,13.06,PPT,F02,,,,9.5,,,38.32522,-76.37574
39218,MDDNR,TRIB,CB5.1W,3/26/1985,11:15,9.1,M,ISM,M1,SALINITY,,14.06,PPT,F02,,,,9.5,,,38.32522,-76.37574
